Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
88	0.8181818	0.36363637	1.0	0.09090909	45.2	0.1355264	0.14093643	0.9077592	0.052464418	44500	-0.29667997	0.00632055	-0.0033500493	-0.00067890156	1.4833999	0.002024803	0.226	15.0	60.83849024772644
89	0.9	0.29999998	1.0	0.0	45.2	0.13105972	0.155277	0.9921798	0.0129929185	45000	-0.30671108	0.00582155	-0.0012420714	-0.0013680076	1.5335554	0.018361669	0.206	2.0	61.416245460510254
90	0.6753246	0.43559766	1.0	0.09090909	32.857143	0.13993518	0.19653171	1.15028	0.022770628	45500	-0.30096152	0.008213034	-0.0017396808	-0.0008840142	1.5048076	0.01705373	0.666	4.0	62.01815176010132
91	0.9	0.29999998	1.0	0.0	50.0	0.11145404	0.16641068	0.9812403	0.044771172	46000	-0.30778718	0.0037465289	-0.00010973215	0.00022826367	1.5389359	0.026367914	0.962	2.0	62.53579258918762
92	0.8264463	0.36867285	1.0	0.0	41.272728	0.09884353	0.16980006	0.99664456	0.04686679	46500	-0.30427414	0.003585431	-0.0010767579	-0.00020046462	1.5213706	0.0026395754	0.196	15.0	63.15261626243591
93	0.9090909	0.27272728	1.0	0.09090909	50.0	0.108893864	0.18764433	1.1022499	0.02860709	47000	-0.2980177	0.0033984294	0.008388132	-0.000358704	1.4900886	0.033868194	0.482	1.0	63.712735414505005
94	0.6433566	0.4516855	1.0	0.0	35.23077	0.16617163	0.2911635	1.0335134	0.016565464	47500	-0.26429996	0.012476882	-0.00529477	-0.0029262435	1.3214997	0.03829533	0.764	2.0	64.30586504936218
95	0.7181818	0.43112385	1.0	0.0	45.2	0.04491648	0.16918054	0.8312626	-0.18308857	48000	-0.30294463	0.0064416258	0.0011903942	-0.00068847183	1.5147232	0.015109681	0.396	5.0	64.95209550857544
96	0.9090909	0.27272728	1.0	0.09090909	45.2	0.05728807	0.14647539	0.8535861	0.007669255	48500	-0.3080245	0.0038742872	0.0051689446	-0.0017010986	1.5401225	0.018695498	0.404	11.0	65.5260956287384
97	0.9	0.29999998	1.0	0.0	48.3	0.08781788	0.19683734	1.1221473	0.01785905	49000	-0.2893171	0.007482897	-0.0043182373	-0.0038641512	1.4465853	0.015335869	0.864	7.0	66.17180562019348
98	1.0	0.0	1.0	1.0	50.0	0.09093263	0.16264121	1.0202112	0.021417089	49500	-0.30831528	0.0016859219	-0.0015113354	0.00074915437	1.5415764	0.021646053	0.428	3.0	66.70180344581604
99	0.68939394	0.43985087	1.0	0.0	38.0	0.13281104	0.20903325	1.2141682	0.04916487	50000	-0.3025934	0.008379866	0.0035652816	-0.0019196556	1.512967	0.017011102	0.56	11.0	67.28850197792053
100	1.0	0.0	1.0	1.0	50.0	0.105040036	0.16496672	1.0526562	0.06523142	50500	-0.3064848	0.0014242826	-0.0027626753	-0.00077439664	1.532424	0.01996641	0.596	4.0	67.86222839355469
101	0.8264463	0.36867285	1.0	0.0	41.272728	0.11084565	0.20218553	1.1784636	0.039823778	51000	-0.3021482	0.00519304	-0.0016980767	-0.0007663653	1.5107409	0.017432114	0.564	13.0	68.50091433525085
102	0.8181818	0.36363634	1.0	0.09090909	45.2	0.07550259	0.17872657	1.0198361	0.019466996	51500	-0.30432615	0.0030725133	-0.001729697	3.798632e-06	1.5216305	0.00090097287	0.242	15.0	69.14249801635742
103	0.77272725	0.3936479	1.0	0.09090909	38.0	0.0633655	0.16943617	0.98530024	-0.068665124	52000	-0.30286846	0.004550529	-0.0015205741	-0.0003553182	1.5143423	0.028218864	0.438	3.0	69.70147037506104
104	0.9090909	0.27272728	1.0	0.09090909	45.2	0.04717926	0.18560086	1.0760262	-0.0025679544	52500	-0.30747718	0.0014598779	-0.0003992319	-7.258984e-05	1.5373857	0.0004873345	0.0	15.0	70.28753447532654
105	0.9090909	0.27272728	1.0	0.09090909	45.2	0.044195924	0.20301436	1.1125286	-0.007929467	53000	-0.30796352	0.0020727438	-0.0021919906	-0.00018325623	1.5398176	0.001690584	0.26	15.0	70.88230776786804
106	0.9090909	0.27272728	1.0	0.09090909	50.0	0.053536322	0.19334152	1.0172911	-0.05893787	53500	-0.30827433	0.0018830732	0.011345208	-0.00026253017	1.5413717	0.034469556	0.55	1.0	71.39195513725281
107	0.9090909	0.27272728	1.0	0.09090909	50.0	0.101285376	0.26988584	0.9779699	-0.016316704	54000	-0.27916363	0.0040839375	0.0023453534	-0.0011697672	1.3958181	0.02275431	0.606	4.0	71.93648314476013
108	0.9090909	0.27272728	1.0	0.09090909	50.0	0.10635907	0.2634125	0.89719117	-0.005010955	54500	-0.27973375	0.0056924755	-0.00062549114	-0.0005153548	1.3986686	0.0008297079	0.23	15.0	72.46905565261841
109	0.8347107	0.35063145	1.0	0.09090909	41.272728	0.042448923	0.14320147	0.7977474	-0.06993151	55000	-0.30734652	0.004977265	-0.0013157725	-0.0021067837	1.5367326	0.015347114	0.594	2.0	73.02132678031921
110	0.9	0.29999998	1.0	0.0	45.2	0.05703018	0.19553474	1.1164134	0.0035164207	55500	-0.3088595	0.004172288	0.006180346	-0.00022569625	1.5442976	0.028138023	0.792	1.0	73.64187169075012
111	1.0	0.0	1.0	1.0	50.0	0.053341765	0.17429467	1.0367311	-0.04497423	56000	-0.30063578	0.0010320625	0.016900986	-0.00054227735	1.503179	0.027085843	0.48	5.0	74.1675877571106
112	0.9090909	0.27272725	1.0	0.09090909	50.0	0.06254428	0.20961173	1.1549569	-0.039659843	56500	-0.29482123	0.0035404842	-0.004671842	-0.000789569	1.4741061	0.01775291	0.496	1.0	74.68509984016418
113	0.8727272	0.2822577	1.0	0.09090909	45.2	0.09248978	0.1902923	1.0233928	0.019942455	57000	-0.2914118	0.0054150806	0.002164036	-0.0020047147	1.4570589	0.020266192	0.436	5.0	75.25983095169067
114	0.9090909	0.27272728	1.0	0.09090909	45.2	0.06667301	0.21016806	1.1694742	0.007349111	57500	-0.30813286	0.0015729906	0.011459857	-0.00033791433	1.5406643	0.023008814	0.538	1.0	75.79287433624268
115	0.77272725	0.3936479	1.0	0.09090909	38.0	0.056330454	0.19589342	1.0341268	-0.009572953	58000	-0.3038728	0.0049776975	-0.0015698373	-0.0002722852	1.5193639	0.019840078	0.552	3.0	76.48514676094055
116	0.9090909	0.27272728	1.0	0.09090909	45.2	0.05189319	0.16469148	0.924514	0.010569274	58500	-0.30782998	0.0027237316	0.0075226724	-0.00059369113	1.5391499	0.03943824	0.8	5.0	77.0280499458313
117	0.9090909	0.27272728	1.0	0.09090909	45.2	0.14118293	0.32703474	1.0690228	-0.021626502	59000	-0.2723388	0.00701641	-0.0010594428	-0.0024817507	1.3616942	0.021631418	0.544	8.0	77.6271448135376
118	0.9	0.29999998	1.0	0.0	50.0	0.07683432	0.17428112	0.86669683	-0.014263436	59500	-0.30067182	0.0034711875	-0.007059902	-0.0009318739	1.5033588	0.0021062575	0.35	15.0	78.11898493766785
